id,Existing Customer,Attrited Customer
0,0.9995747,0.00042530036
1,0.994676,0.0053240303
2,0.90771323,0.09228675
3,0.9911233,0.00887669
4,0.9997737,0.00022631307
5,0.001608789,0.9983912
6,0.99968815,0.00031185467
7,0.9994434,0.0005565669
8,0.99115753,0.008842477
9,0.9990723,0.00092765765
10,0.99052507,0.009474958
11,0.0077670813,0.9922329
12,0.9838836,0.01611641
13,0.9998746,0.0001254126
14,0.16250747,0.8374925
15,0.99899733,0.0010026576
16,0.9994389,0.00056112674
17,0.9991188,0.00088119373
18,0.010664761,0.98933524
19,0.9992037,0.00079634774
20,0.9998858,0.00011420316
21,0.99952495,0.00047505304
22,0.9999427,5.7300484e-05
23,0.9999356,6.439429e-05
24,0.0117203,0.9882797
25,0.99988556,0.00011444724
26,0.9967798,0.003220174
27,0.9998713,0.00012869676
28,0.99986535,0.0001346499
29,0.9991218,0.00087823777
30,0.9991424,0.00085759495
31,0.9999382,6.18346e-05
32,0.99823725,0.0017627504
33,0.5813828,0.4186172
34,0.99836785,0.0016321719
35,0.99980193,0.00019803914
36,0.99941254,0.0005874632
37,0.9998022,0.00019784569
38,0.36350703,0.63649297
39,0.9993966,0.00060335075
40,0.99953765,0.0004623695
41,0.40348083,0.5965192
42,0.9985221,0.0014779177
43,0.04680133,0.9531987
44,0.9983059,0.0016940774
45,0.9995065,0.00049349846
46,0.99970067,0.0002993451
47,0.92673784,0.07326214
48,0.9999611,3.8926286e-05
49,0.9999573,4.266138e-05
50,0.9991685,0.0008315017
51,0.9645207,0.035479315
52,0.9995753,0.00042465338
53,0.9998752,0.0001247824
54,0.7410289,0.2589711
55,0.058772624,0.9412274
56,0.045481622,0.9545184
57,0.99974775,0.0002522572
58,0.999148,0.00085196656
59,0.9935974,0.0064025833
60,0.9999213,7.87059e-05
61,0.39313352,0.6068665
62,0.99902457,0.0009754434
63,0.99876124,0.0012387383
64,0.25530303,0.744697
65,0.9989898,0.0010101555
66,0.9900831,0.009916872
67,0.00962019,0.9903798
68,0.10179937,0.89820063
69,0.9999192,8.080658e-05
70,0.9993573,0.0006427238
71,0.9998861,0.000113904614
72,0.996711,0.0032890097
73,0.9992864,0.00071356236
74,0.9997016,0.00029840565
75,0.999958,4.2013504e-05
76,0.99992,8.0007245e-05
77,0.28222477,0.7177752
78,0.9924743,0.0075256955
79,0.999805,0.00019502762
80,0.9994242,0.0005757767
81,0.9999549,4.509639e-05
82,0.9994849,0.0005150901
83,0.9999064,9.356076e-05
84,0.9966643,0.0033357067
85,0.9991826,0.0008174283
86,0.10462403,0.89537597
87,0.9999617,3.8326358e-05
88,0.9997292,0.00027077046
89,0.9997226,0.00027740002
90,0.9999203,7.9690944e-05
91,0.99721813,0.0027818852
92,0.84147155,0.15852843
93,0.99973804,0.00026197542
94,0.99926156,0.0007384549
95,0.25446206,0.74553794
96,0.9972265,0.0027734952
97,0.99975,0.00024999696
98,0.06632608,0.9336739
99,0.9932415,0.0067585385
100,0.012190342,0.98780966
